time,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,event,control_tick
1.105,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1100000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.115,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1200000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.125,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1300000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.135,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1400000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.145,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1500000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,230
1.155,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1599999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.165,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1699999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.175,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1799999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1850000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1899999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1950000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,240
1.2050000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.21,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2150000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.22,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2250000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.23,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2350000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.24,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2450000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.25,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,250
1.2550000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.26,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2650000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.27,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2750000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.28,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2849999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.29,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.2949999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,260
1.3049999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3100000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3149999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3200000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.325,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3300000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.335,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3400000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.345,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3500000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,270
1.355,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3600000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.365,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.3700000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
