candidate_id,stage1_rank,sample_id,scenario,safe,solver_success,solver_valid,steady_state_valid,limiter_parity_valid,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max,steady_state_residual_max,d_hat_norm_max,d_controllable_norm_max,d_uncontrollable_norm_max
dr_tsrmpc_005,2,calm__+y_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15545997022509508,0.0,,,0.0111572132455739,1.6689,1.925929944387236e-34,1.1084477543609074e-19,4.677888743454644e-05,4.04905209657713e-10,4.6778887432794064e-05
dr_tsrmpc_005,2,wind_1p5__+y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.14219239467249964,0.1767022456699422,,,0.04092638489470982,1.6123,0.0,2.7969066293879695e-17,0.007062058175212609,0.007060986919883505,0.00038652799519408123
dr_tsrmpc_005,2,wind_3p0__+y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.1575022266658658,0.7056249228667996,,,0.6097441259011365,1.6593,0.0,1.1526747817654465e-16,0.028839945209612677,0.028834486201510245,0.00184846936242481
dr_tsrmpc_005,2,calm__-y_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15545997022509508,0.0,,,0.0111572132455739,1.6381,1.925929944387236e-34,1.1084477543609074e-19,4.677888743454644e-05,4.04905209657713e-10,4.6778887432794064e-05
dr_tsrmpc_005,2,wind_1p5__-y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.14219239467249964,0.1767022456699422,,,0.04092638489470982,1.7206,0.0,2.7969066293879695e-17,0.007062058175212609,0.007060986919883505,0.00038652799519408123
dr_tsrmpc_005,2,wind_3p0__-y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.1575022266658658,0.7056249228667996,,,0.6097441259011365,1.9963,0.0,1.1526747817654465e-16,0.028839945209612677,0.028834486201510245,0.00184846936242481
dr_tsrmpc_005,2,calm__+z_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244298,1.8238,1.9721522630525295e-31,1.9355068619863064e-16,0.04618897807657107,3.999015377669991e-07,0.04618897807483991
dr_tsrmpc_005,2,wind_1p5__+z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.054571959016103094,0.177504035550322,,,0.31346600123084034,1.8045,0.0,1.9304664362333405e-16,0.04658802501277318,0.007149858640891054,0.04609590588922456
dr_tsrmpc_005,2,wind_3p0__+z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.08699068350007275,0.7087238417934105,,,0.8799848014210161,1.6949,0.0,2.385192328301229e-16,0.0531428805076982,0.029162450794161097,0.04575460976148546
dr_tsrmpc_005,2,calm__-z_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244335,1.7365,1.9721522630525295e-31,2.089171553693413e-16,0.046188978076571324,3.9990153776701056e-07,0.046188978074840174
dr_tsrmpc_005,2,wind_1p5__-z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05459495739812177,0.17629058585737412,,,0.31425119893596976,1.7642,0.0,1.9788082321169584e-16,0.046766585972768004,0.0070332160487674,0.046276367249498226
dr_tsrmpc_005,2,wind_3p0__-z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.2599999999999998,0.08702717865857866,0.7042135787088536,,,0.8840289497963976,1.6963,0.0,2.373067926609053e-16,0.053915457679903744,0.028664165545988947,0.046641453618728165
dr_tsrmpc_005,2,stochastic_dev_0000,WIND_3D_SETPOINT,True,True,True,True,True,True,2.0949999999999998,0.05977108928991824,0.33734750523898466,,,0.058888396437165494,1.7093,1.3877787807814457e-17,3.8641789223277904e-17,0.010948085046916876,0.010931647220725612,0.0006346698511000767
dr_tsrmpc_005,2,stochastic_dev_0001,WIND_3D_SETPOINT,True,True,True,True,True,True,2.3,0.058672250192643466,0.5383863038478616,,,0.06405123087796476,1.7147,8.673617379884035e-19,5.4996471511631525e-17,0.015589220742995123,0.015551898336511851,0.0010780823273894645
