sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_strong_simultaneous_opposed_04,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,21.388770139412202,7.684731856705655,14.028970500204299,34.02358078485126,54.76169946553301,2.0,0.25,139.0878232257529,1.2717449586737775,0.2520845913056428,[],1.1133,0.2572614107883817,0.004149377593360996,opposed
v5d_strong_simultaneous_opposed_05,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,23.244971831055278,7.678407248678152,14.918120238426475,36.90173643217122,57.45327644721257,2.0,0.24999999999999997,139.0669689401288,1.2291600525737543,0.2641356496143463,[],1.0981,0.3278008298755187,0.004149377593360996,opposed
v5d_strong_simultaneous_cross_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,24.067685295984454,7.581121545070541,13.991022195490507,38.02174602930083,58.72383391326642,2.0,0.25,138.30844625739846,1.2410062502218935,0.23502376131439157,[],1.1107,0.22406639004149378,0.004149377593360996,cross
v5d_strong_simultaneous_cross_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,26.407022453043908,7.558847862873032,15.744460075069037,41.86184351434376,60.90797663271215,2.0,0.15142732555346383,138.76322800003598,1.222888101455202,0.2544877207009693,[],1.1045,0.36929460580912865,0.0,cross
v5d_strong_simultaneous_cross_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,19.089656632115002,7.687775193683001,12.53426284827393,30.464223712657667,50.32062984632414,2.0,0.25,139.14278586842207,1.303823232193705,0.2315982809171018,[],1.0867,0.4107883817427386,0.004149377593360996,cross
v5d_strong_simultaneous_cross_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,24.25828345703766,7.560895174635925,13.865577243170454,38.29640923188384,58.88495292059068,2.0,0.24999999999999997,138.88891322731646,1.2344072112606033,0.24792817746710236,[],1.1408,0.4024896265560166,0.004149377593360996,cross
v5d_strong_simultaneous_cross_04,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,25.041603164267247,7.572752196873987,14.572856491542408,39.60030838031888,59.67446082523749,2.0,0.13351529784621485,138.66966264594976,1.2312697588308994,0.23496612149008694,[],1.0505,0.3236514522821577,0.0,cross
v5d_strong_simultaneous_cross_05,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,26.131371844677457,7.554413388845978,15.339444371666096,41.38673650226247,60.63347019267595,2.0,0.15139782095470888,138.71153629118862,1.2258871011963415,0.24017937841844078,[],1.0842,0.36099585062240663,0.0,cross
v5d_strong_post_target_aligned_00,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,29.22240188742002,5.132751875607181,20.501457536531092,46.771637674011565,69.67523396842134,2.0,0.1429495639867817,138.79010224967794,1.320824289602815,0.29636086866724837,[],1.0321,0.2572614107883817,0.0,aligned
v5d_strong_post_target_aligned_01,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,18.79229958886275,5.304270330818967,14.176311029829844,29.65239021939687,63.25436819050957,2.0,0.20961398383002444,139.03324991347728,1.310790471904789,0.23811691094994444,[],1.0553,0.29045643153526973,0.0,aligned
