controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,2,calm__-x_r0.15,True,True,2.67,0.06633001526131863,0.5431251415604412,,,0.017128528017288258,0.017128528017288258,0.017934897968677713,0.12128094425923291,0.12075,0.0,0.0,0.015887233209083994,0.00191757651558071,0.027197261133174964,130.09368537796354,0.19033635772543597
pid,2,wind_1p5__-x_r0.15,True,True,3.2,0.08932545421568511,0.3160103262339174,,,0.04388599779716806,0.04388599779716806,0.0443058846050383,0.16071347489881568,0.11970369021816496,0.0,0.0,0.015269928988801909,0.00960222983154272,0.021898346022451116,130.08663994716326,0.16660388313365593
pid,2,wind_3p0__-x_r0.15,True,False,,0.24994425412824325,0.7937418554061589,,,0.5903525357981472,0.5903525357981472,0.594484806925533,0.3055341477732398,0.11594738332567525,0.0,0.0,0.07118638271031695,0.04304132753381737,0.09710012081953215,130.7550356844349,0.17415204554238722
pid,2,calm__+y_r0.15,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.00401628670776459,0.0,0.0,0.03608193131196891,0.015,0.00040492998603170767,2.9042799648643482e-05,0.004141093032798707,129.88735865990498,0.06928912224660387
pid,2,wind_1p5__+y_r0.15,True,True,7.385,0.09918282941994593,0.2950131222286752,,,0.03477510153362763,0.03477510153362763,0.037397630768728055,0.07882259490776466,0.006093481666947273,0.03446112007653334,0.015,0.015269928988801909,0.00960222983154272,0.021898346022451116,130.08663994716326,0.05326372509852802
pid,2,wind_3p0__+y_r0.15,True,False,,0.23352627968071937,0.9517116833226422,,,0.5827208616359674,0.5827208616359674,0.5900870205455359,0.3055341477732398,0.024431206524008736,0.03453340435083765,0.015,0.07118638271031695,0.04304132753381737,0.09710012081953215,130.7550356844349,0.17415204554238722
pid,2,calm__-y_r0.15,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.00401628670776459,0.0,0.0,0.03608193131196891,0.015,0.00040492998603170767,2.9042799648643482e-05,0.004141093032798707,129.88735865990498,0.06928912224660387
pid,2,wind_1p5__-y_r0.15,True,True,7.385,0.09918282941994593,0.2950131222286752,,,0.03477510153362763,0.03477510153362763,0.037397630768728055,0.07882259490776466,0.006093481666947273,0.03446112007653334,0.015,0.015269928988801909,0.00960222983154272,0.021898346022451116,130.08663994716326,0.05326372509852802
pid,2,wind_3p0__-y_r0.15,True,False,,0.23352627968071937,0.9517116833226422,,,0.5827208616359674,0.5827208616359674,0.5900870205455359,0.3055341477732398,0.024431206524008736,0.03453340435083765,0.015,0.07118638271031695,0.04304132753381737,0.09710012081953215,130.7550356844349,0.17415204554238722
pid,2,calm__+z_r0.15,True,True,0.99,0.029780750412311516,0.0,,,0.0,0.0,0.11217005724800687,0.0,0.0,0.0,0.0,0.7500000000000011,0.25,0.0,139.8144,0.0
