candidate_id,stage1_rank,sample_id,safe,solver_success,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max
of_ts_rmpc_025,3,stochastic_dev_0009,True,True,True,5.385,0.1413395606534503,0.06788105286276569,,,0.008221902205011986,0.9327,8.673617379884035e-19
of_ts_rmpc_025,3,stochastic_dev_0010,True,True,True,1.25,0.06630984656983563,0.3490529404805635,,,0.30284018359771653,0.9858,6.938893903907228e-18
of_ts_rmpc_025,3,stochastic_dev_0011,True,True,True,1.25,0.05224557565131794,0.07117447920428971,,,0.2807763534041298,1.0129,4.336808689942018e-19
of_ts_rmpc_025,3,stochastic_dev_0012,True,True,True,2.0549999999999997,0.05153273992802857,0.23227677887882014,,,0.04684084316319444,1.0891,1.1292216445246694e-07
of_ts_rmpc_025,3,stochastic_dev_0013,True,True,True,2.295,0.05877096562996898,0.28864135163230203,,,0.05429494920238819,0.986,2.8194101608924882e-08
of_ts_rmpc_025,3,stochastic_dev_0014,True,True,True,4.965,0.08746811526277287,0.19015995489377746,,,0.014024562534739913,0.9948,3.469446951953614e-18
of_ts_rmpc_025,3,stochastic_dev_0015,True,True,True,5.120000000000001,0.08681761110203201,0.10991867971292898,,,0.009594848444404704,1.0776,1.734723475976807e-18
of_ts_rmpc_025,3,stochastic_dev_0016,True,True,True,0.9950000000000001,0.033067843458097455,0.15304090749499394,,,0.11818915172336979,0.9565,1.734723475976807e-18
of_ts_rmpc_025,3,stochastic_dev_0017,True,True,True,1.0,0.04036732540222737,0.15917989512425187,,,0.1314536287621349,0.9614,3.469446951953614e-18
of_ts_rmpc_025,3,stochastic_dev_0018,True,True,True,2.9299999999999997,0.09821627759586965,0.39955673273619496,,,0.10924743383132433,0.939,4.6184861890452567e-07
of_ts_rmpc_025,3,stochastic_dev_0019,True,True,True,3.1550000000000002,0.08653163232460474,0.5007539670986569,,,0.11592416468896038,0.9652,4.3772553837140293e-07
